Geração,Tipo,ID,Nome,Grupo,Aniversário,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceitos predominantes,Gêneros predominantes,Pontos Fortes,Pontos Fracos
4,idol,3yehaeun,Haeun,3YE,25-11-1998,C,B,A,B,C,,,,,
4,idol,3yeyuji,Yuji,3YE,13-04-1998,B,A,B,B,C,,,,,
4,idol,3yeyurim,Yurim,3YE,12-03-1999,C,B,B,C,C,,,,,
4,idol,aespagiselle,Giselle,aespa,30-10-2000,C,B,A,C,B,,,,,
4,idol,aespakarina,Karina,aespa,11-04-2000,B,S,B,A,S,,,,,
4,idol,aespaningning,NingNing,aespa,23-10-2002,S,B,D,C,B,,,,,
4,idol,aespawinter,Winter,aespa,01-01-2001,S,B,D,A,A,,,,,
5,idol,alldayprojectannie,Annie,ALLDAY PROJECT,23-01-2002,D,C,C,D,C,,,,,
5,idol,alldayprojectbailey,Bailey,ALLDAY PROJECT,24-02-2004,D,A,B,B,C,,,,,
5,idol,alldayprojectyoungseo,Youngseo,ALLDAY PROJECT,13-11-2005,A,B,D,A,B,,,,,
5,idol,artmschoerry,Choerry,ARTMS,04-06-2001,B,A,D,A,A,,,,,
5,idol,artmshaseul,Haseul,ARTMS,18-08-1997,A,B,C,B,A,,,,,
5,idol,artmsheejin,HeeJin,ARTMS,19-10-2000,A,S,C,S,A,,,,,
5,idol,artmsjinsoul,Jinsoul,ARTMS,13-06-1997,B,B,B,B,A,,,,,
5,idol,artmskimlip,Kim Lip,ARTMS,10-02-1999,A,S,D,A,B,,,,,
5,idol,atheartarin,Arin,AtHeart,01-07-2007,B,A,D,B,B,,,,,
5,idol,atheartaurora,Aurora,AtHeart,04-07-2009,B,C,D,C,C,,,,,
5,idol,atheartbome,Bome,AtHeart,26-11-2007,A,B,D,B,B,,,,,
5,idol,atheartkatelyn,Katelyn,AtHeart,24-07-2007,B,B,C,B,C,,,,,
5,idol,atheartmichi,Michi,AtHeart,06-05-2007,B,B,D,B,C,,,,,
5,idol,atheartnahyun,Nahyun,AtHeart,03-09-2009,B,B,D,A,A,,,,,
5,idol,atheartseohyeon,Seohyeon,AtHeart,12-09-2008,A,B,D,B,B,,,,,
5,idol,babydontcrybeni,Beni,Baby DONT Cry,23-12-2008,B,B,D,B,A,,,,,
5,idol,babydontcrykumi,Kumi,Baby DONT Cry,30-08-2007,C,B,B,B,B,,,,,
5,idol,babydontcrymia,Mia,Baby DONT Cry,03-09-2007,C,C,D,B,A,,,,,
5,idol,babydontcryyihyun,Yihyun,Baby DONT Cry,11-04-2006,A,B,D,A,A,,,,,
5,idol,babymonsterahyeon,Ahyeon,BABYMONSTER,11-04-2007,S,B,S,A,A,,,,,
5,idol,babymonsterasa,Asa,BABYMONSTER,17-04-2006,B,B,S,B,S,,,,,
5,idol,babymonsterchiquita,Chiquita,BABYMONSTER,17-02-2009,B,B,A,B,C,,,,,
5,idol,babymonsterpharita,Pharita,BABYMONSTER,26-08-2005,A,C,D,C,B,,,,,
5,idol,babymonsterrami,Rami,BABYMONSTER,17-10-2007,S,B,B,B,A,,,,,
5,idol,babymonsterrora,Rora,BABYMONSTER,14-08-2008,A,B,D,B,A,,,,,
5,idol,babymonsterruka,Ruka,BABYMONSTER,20-03-2002,B,B,S,B,B,,,,,
4,idol,billlieharam,Haram,Billlie,13-01-2001,A,C,D,C,B,,,,,
4,idol,billlieharuna,Haruna,Billlie,30-01-2006,C,B,C,C,A,,,,,
4,idol,billliemoonsua,Moon Sua,Billlie,09-09-1999,B,A,A,B,B,,,,,
4,idol,billliesheon,Sheon,Billlie,28-01-2003,B,A,B,B,A,,,,,
4,idol,billliesiyoon,Siyoon,Billlie,16-02-2005,C,B,B,B,B,,,,,
4,idol,billliesuhyeon,Suhyeon,Billlie,15-01-2000,A,B,C,B,A,,,,,
4,idol,billlietsuki,Tsuki,Billlie,21-09-2002,B,S,D,A,A,,,,,
4,idol,bvnditjungwoo,Jungwoo,BVNDIT,02-04-1999,A,B,D,B,C,,,,,
4,idol,bvnditseungeun,Seungeun,BVNDIT,27-12-2000,B,B,D,B,B,,,,,
4,idol,bvnditsimyeong,Simyeong,BVNDIT,27-05-1999,B,B,D,C,C,,,,,
4,idol,bvnditsonghee,Songhee,BVNDIT,08-11-1998,B,B,D,B,A,,,,,
4,idol,bvndityiyeon,Yiyeon,BVNDIT,28-05-1995,B,B,D,C,C,,,,,
4,idol,cherrybulletbora,Bora,Cherry Bullet,03-03-1999,S,B,D,B,C,,,,,
4,idol,cherrybulletchaerin,Chaerin,Cherry Bullet,13-03-2002,C,A,C,C,B,,,,,
4,idol,cherrybullethaeyoon,Haeyoon,Cherry Bullet,10-01-1996,S,C,D,B,C,,,,,
4,idol,cherrybulletjiwon,Jiwon,Cherry Bullet,04-09-2000,B,B,C,S,S,,,,,
4,idol,cherrybulletmay,May,Cherry Bullet,16-11-2004,B,B,D,B,B,,,,,
4,idol,cherrybulletremi,Remi,Cherry Bullet,26-04-2001,C,A,C,C,C,,,,,
4,idol,cherrybulletyuju,Yuju,Cherry Bullet,05-03-1997,B,B,D,B,B,,,,,
4,idol,cignaturechaesol,Chaesol,cignature,14-07-1998,B,B,D,B,A,,,,,
4,idol,cignaturechloe,Chloe,cignature,06-01-2001,B,C,D,C,B,,,,,
4,idol,cignaturedohee,Dohee,cignature,01-08-2002,C,B,C,C,B,,,,,
4,idol,cignaturejeewon,Jeewon,cignature,01-04-1999,B,B,D,S,A,,,,,
4,idol,cignatureseline,Seline,cignature,20-06-2000,C,B,C,C,B,,,,,
4,idol,cignaturesemi,Semi,cignature,10-04-2002,B,B,D,B,C,,,,,
