Tipo,ID,Nome,Fonte,Conceitos Originais,Gêneros Originais
music,boysiiplanetbratattitude,Brat Attitude,Boys II Planet,Girl Crush / Performance / Swag,EDM / Hip-hop / Groove
music,boysiiplanetchains,Chains,Boys II Planet,Dreamcore / Performance / Dark,Electro-Synth / Experimental / Groove
music,boysiiplanetholasolar,HOLA SOLAR,Boys II Planet,Teen Crush / Dreamcore / Conceptual,Pop / Electro-Synth / Groove
music,boysiiplanethowtofly,How To Fly,Boys II Planet,Dreamcore / Cute / Conceptual,Emotional / R&B / Electro-Synth
music,boysiiplanetluckymacho,Lucky MACHO,Boys II Planet,Swag / Girl Crush / Performance,Tropical / Hip-hop / Experimental
music,boysiiplanetmaindish,MAIN DISH,Boys II Planet,Dark / Girl Crush / Swag,Rock / Experimental / Hip-hop
music,boysiiplanetneverbeen2heaven,Never Been 2 Heaven,Boys II Planet,Conceptual / Cute / Teen Crush,Pop / Groove / Electro-Synth
music,boysiiplanetsuperhigh,Super HIGH,Boys II Planet,Cute / Dreamcore / Teen Crush,Pop / Groove / Tropical
music,boysplanetengarde,En Garde,Boys Planet,Performance / Elegant / Conceptual,Groove / Experimental / Electro-Synth
music,boysplanethereiam,Here I Am,Boys Planet,Conceptual / Dreamcore / Teen Crush,Pop / Groove / EDM
music,boysplanethotsummer,Hot Summer,Boys Planet,Elegant / Mature / Conceptual,Tropical / R&B / Electro-Synth
music,boysplanetjellypop,Jelly Pop,Boys Planet,Cute / Teen Crush / Performance,Pop / Experimental / Groove
music,boysplanetnotalone,Not Alone,Boys Planet,Elegant / Dreamcore / Conceptual,Emotional / R&B / Electro-Synth
music,boysplanetoverme,Over Me,Boys Planet,Mature / Elegant / Performance,Groove / R&B / Experimental
music,boysplanetsaymyname,Say My Name,Boys Planet,Cute / Teen Crush / Dreamcore,Pop / Rock / Electro-Synth
music,boysplanetsupercharger,SuperCharger,Boys Planet,Swag / Girl Crush / Performance,EDM / Hip-hop / Experimental
music,boysplanetswitch,Switch,Boys Planet,Cute / Teen Crush / Swag,Pop / Groove / Experimental
music,girlsplanet999anotherdream,Another Dream,Girls Planet 999,Conceptual / Dreamcore / Elegant,R&B / Emotional / Electro-Synth 
music,girlsplanet999ooo,O.O.O,Girls Planet 999,Conceptual / Dreamcore / Performance,EDM / Pop / Experimental
music,girlsplanet999shine,Shine,Girls Planet 999,Teen Crush / Cute / Performance,Pop / Electro-Synth / Experimental
music,girlsplanet999shoot,Shoot!,Girls Planet 999,Cute / Teen Crush / Performance,Pop / Groove / Electro-Synth
music,girlsplanet999snake,Snake,Girls Planet 999,Girl Crush / Mature / Dark,Hip-hop / Groove / Experimental
music,girlsplanet999umelove,U+ME=LOVE,Girls Planet 999,Dreamcore / Elegant / Performance,Electro-Synth / Pop / Groove
music,girlsplanet999utopia,Utopia,Girls Planet 999,Dreamcore / Elegant / Conceptual,Emotional / R&B / Electro-Synth
music,ilandcallingruntoyou,Calling (Run to You),I-LAND,Mature / Performance / Dark,EDM / Experimental / R&B
music,ilandflicker,Flicker,I-LAND,Conceptual / Elegant / Dark,R&B / Groove / Emotional
music,ilandicredible,I&credible,I-LAND,Conceptual / Elegant / Dreamcore,Experimental / Emotional / Groove
music,ilandintotheiland,Into the I-LAND,I-LAND,Conceptual / Dreamcore / Performance,Tropical / Emotional / Pop
music,iland2nadrip,DRIP,I-Land 2 N/a,Swag / Performance / Mature,Tropical / Groove / Experimental
music,iland2nafakeit,FAKE IT,I-Land 2 N/a,Conceptual / Mature / Elegant,Emotional / Pop / Electro-Synth
music,iland2nafinallovesong,Final Love Song,I-Land 2 N/a,Conceptual / Performance / Mature,EDM / Electro-Synth / Groove
music,iland2naiwaly,IWALY,I-Land 2 N/a,Teen Crush / Performance / Conceptual,Emotional / Electro-Synth / Rock
music,idolschoolmagical,Magical,Idol School,Dreamcore / Elegant / Performance,EDM / Pop / Electro-Synth
music,idolschoolmiracle,Miracle,Idol School,Dreamcore / Elegant / Conceptual,Electro-Synth / Emotional / Pop
music,idolschoolpinocchio,Pinocchio,Idol School,Cute / Performance / Teen Crush,Pop / Experimental / Groove
music,idolschoolpretty,Pretty,Idol School,Teen Crush / Cute / Conceptual,Rock / Pop / Experimental
music,idolschoolhighfive,High Five,Idol School,Cute / Dreamcore / Conceptual,Pop / Electro-Synth / Emotional
music,myteenagegirldreaming,Dreaming,My Teenage Girl,Dreamcore / Elegant / Cute,Emotional / Electro-Synth / R&B
music,myteenagegirllions,Lions,My Teenage Girl,Performance / Swag / Elegant,Groove / Experimental / R&B
music,myteenagegirlsamesamedifferent,Same Same Different,My Teenage Girl,Teen Crush / Girl Crush / Performance,EDM / Experimental / Electro-Synth
music,myteenagegirlsonicboom,Sonic Boom,My Teenage Girl,Girl Crush / Swag / Dark,Groove / Electro-Synth / Hip-hop
music,myteenagegirlsun,Sun,My Teenage Girl,Dreamcore / Cute / Swag,Tropical / Groove / Pop
music,niziprojectbabyimastar,Baby I'm a Star,Nizi Project,Teen Crush / Cute / Performance,Pop / Rock / Groove
music,niziprojectboomboomboom,Boom Boom Boom,Nizi Project,Swag / Elegant / Performance,EDM / Experimental / Groove
music,niziprojectbeyondtherainbow,Beyond the Rainbow,Nizi Project,Dark / Performance / Elegant,EDM / Pop / Groove
music,niziprojectmakeyouhappy,Make You Happy,Nizi Project,Cute / Teen Crush / Performance,Groove / Experimental / 
music,produce10124hours,24Hours,Produce 101,Performance / Mature / Conceptual,EDM / Groove / Experimental
