Tipo,ID,Nome,Conceitos Predominantes,Gêneros Predominantes,Músicas Conhecidas
producer,producerartiffect,ARTiffect,Performance / ,Groove / Experimental / Rock,NMIXX - Know About Me / Red Velvet - Feel My Rythm / Kai - Peaches / Riize - Get a Guitar / Seventeen - Maestro
producer,producerartronicwaves,Artronic Waves,Conceptual / Teen Crush / Dark,Electro-Synth / EDM / Rock,tripleS - Rising / LOONA Olivia Hye - Egoist / ARTMS - Icarus / LOONA Hyunjin - Around You / LOONA Haseul - Let Me In
producer,producerblackeyedpilseung,Black Eyed Pilseung,Cute / Teen Crush / Dreamcore,Pop / Emotional / R&B,TWICE - Likey / Itzy - Cake / STAYC - Stereotype / ChungHa - Gotta Go / Apink - I'm So Sick
producer,producerbravesound,Brave Sound,Mature / Elegant / Cute,Tropical / Groove / Pop,AOA - Miniskirt / SISTAR19 - Ma Boy / Brave Girls - Rollin' / BIGBANG - Lies / HyunA - Ice Cream
producer,producercazziopeia,Cazzi Opeia,,,TXT - LO$ER = LOVER / Red Velvet - Pick-A-Boo / ILLIT - Do The Dance / Enhypen - Given-Taken / TWICE - Dance the Night Away
producer,producercsashinsia,C'SA (Shin Sia),,,IVE - BANG BANG / NMIXX - Blue Valentine / fromis_9 - Supersonic / VIVIZ - Maniac / Loossemble - Sensitive
producer,producerdemjointz,Dem Jointz,Girl Crush / ,,aespa - Supernova / NCT 127 - Kick It / IVE - HEYA / Kiiikiii - BTG / Shinee - Don't Call Me
producer,producerdevinechannel,Devine Channel,,,
producer,producerdublesidekick,Duble Sidekick,,,
producer,producerelcapitxn,EL CAPITXN,,,
producer,producereone,e.one,,,
producer,produceretribe,E-Tribe,,,
producer,producerfull8loom,Full8loom,,,
producer,producergalactika,Galactika,,,
producer,producerjadenjeong,Jaden Jeong,,,
producer,producerjamfactory,JamFactory,,,
producer,producerjoombasmusicgroup,Joombas Music Group,,,
producer,producerjyp,JYP,,,
producer,producerkenzie,Kenzie,,,
producer,producerkush,KUSH,,,
producer,producerlalalastudio,lalala studio,,,
producer,producerldnnoise,LDN Noise,,,
producer,producerleesooman,Lee Sooman,,,
producer,producerleezollounder,LEEZ & Ollounder,,,
producer,producermonotree,MonoTree,,,
producer,producermoonshine,Moonshine,,,
producer,producermumwmakeumineworks,MUMW (Makeumine Works),,,
producer,producernine,NiNE,,,
producer,produceronclassa,ONCLASSA,,,
producer,producerpapermaker,Papermaker,,,
producer,producerpdogg,Pdogg,,,
producer,producerrbw,RBW,,,
producer,producerryansjhun,Ryan S. Jhun,,,
producer,producersaay,Saay,,,
producer,producershinsadongtiger,Shinsadong Tiger,,,
producer,producerstardust,Stardust,,,
producer,producersweetune,Sweetune,,,
producer,producerteddy,Teddy,,,
producer,producerthemuze,The Muze,,,
producer,producervendors,VENDORS,,,
producer,produceryg,YG,,,
